title,company,city,link
Коммерческий директор (Краснодар),ООО Неометрия,Москва,https://hh.ru/vacancy/68850442?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
Директор филиала розничной сети,Франчайзинговая розничная сеть Галамарт,Санкт-Петербург,https://hh.ru/vacancy/53696799?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
Директор по развитию розницы (Гипермаркеты),ООО Сима-ленд,Екатеринбург,https://hh.ru/vacancy/68903476?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
Региональный управляющий группой магазинов,Франчайзинговая розничная сеть Галамарт,Санкт-Петербург,https://hh.ru/vacancy/68564407?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
"Руководитель товарного направления ""Продукты питания""",Франчайзинговая розничная сеть Галамарт,Москва,https://hh.ru/vacancy/68559985?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
Управляющий в Букмекерский Клуб,ООО Фирма СТОМ,Москва,https://hh.ru/vacancy/68897462?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
Операционный директор,ОсОО Тенгри Тек,Бишкек,https://hh.ru/vacancy/68806457?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
Руководитель отдела продаж,Негосударственное высшее образовательное учреждение,Ташкент,https://hh.ru/vacancy/68911223?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
Региональный управляющий магазинами (Нижневартовск),Франчайзинговая розничная сеть Галамарт,Тюмень,https://hh.ru/vacancy/68587536?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
Директор макрорегиона POS-кредитования,Тинькофф,Москва,https://hh.ru/vacancy/68295974?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
Директор филиала,ТОО Тави Павлодар,Петропавловск,https://hh.ru/vacancy/68765506?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
Директор филиала (г.Кызылорда),ТОО Interoil-Marketing & Services Kazakhstan,Кызылорда,https://hh.ru/vacancy/68848398?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
Директор филиала,ТОО Тави Павлодар,Усть-Каменогорск,https://hh.ru/vacancy/68765486?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
Коммерческий директор FinTech,ECOS,Москва,https://hh.ru/vacancy/68803704?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
Директор по продажам B2B,EventyOn,Санкт-Петербург,https://hh.ru/vacancy/68388056?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
Клиент Сервис Директор брендингового агентства,"VOZDUH, рекламное агентство",Санкт-Петербург,https://hh.ru/vacancy/68044305?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
"Руководитель отдела продаж ГК ""Medor""","MEDOR, Рекламное агентство",Москва,https://hh.ru/vacancy/68789322?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
Директор салона красоты QUEEN BEE,ИП Амиркулова,Алматы,https://hh.ru/vacancy/68781265?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
Руководитель отдела железнодорожных перевозок,ООО Глоуб Экспресс Сервисиз,Москва,https://hh.ru/vacancy/68728890?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
"Руководитель группы продаж (на входе в должность с ""нулевой"" командой)",2ГИС,Красноярск,https://hh.ru/vacancy/68812529?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
Коммерческий директор,ООО РИКЦ,Москва,https://hh.ru/vacancy/68885191?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
Директор категорийного департамента,ООО КАЗАНЬЭКСПРЕСС,Краснодар,https://hh.ru/vacancy/68879280?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
Директор категорийного департамента,ООО КАЗАНЬЭКСПРЕСС,Екатеринбург,https://hh.ru/vacancy/68879264?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
Финансовый директор\Исполнительный директор,ИП Лурье Евгений Александрович,Москва,https://hh.ru/vacancy/68574076?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
Директор,Диво Остров,Санкт-Петербург,https://hh.ru/vacancy/68872805?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
Директор Торгового комплекса,Холдинговая Компания Тандем,Москва,https://hh.ru/vacancy/68116216?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
Директор по корпоративным и оптовым продажам,ООО Анкор-Амур,Новосибирск,https://hh.ru/vacancy/68811375?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
Коммерческий директор (релокация),Дизайн Сервис,Москва,https://hh.ru/vacancy/68376175?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%B4%D0%B8%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80
